Asset,Work Order,Description Line 1,Description Line 2
"174  -174 - 2 Storey, Duplex, Re-built 1989","WO23- 2,206",No heat downstairs, The boiler was low on glycol and the zone valve was siezed. Once replaced and topped off the system worked properly.
"174  -174 - 2 Storey, Duplex, Re-built 1989","WO23- 2,696",No heat, I released the air in the system and the heat began to flow through the zone
"175  -175 - 2 Storey, Duplex, Re-built 1989","WO23- 1,465",No heat upstairs., Went into boiler room and bled air off of the air from the unit.
"175  -175 - 2 Storey, Duplex, Re-built 1989","WO23- 1,564",No heat upstairs.," Nov17- manually opened zone valve, checked for heat, Nov18-replaced sticky zone valve."
"175  -175 - 2 Storey, Duplex, Re-built 1989","WO23- 2,067","Too hot upstairs, tenant says the heat is right down but very hot upstairs.", We replaced the zone valve that was seized.
"180  -180 - 2 Storey, Duplex, Built 1989",WO23- 414,No heat/ hot water," Went to unit to check heat, glycol was low so topped it up, also had no power dur to breakers being turned off."
"180  -180 - 2 Storey, Duplex, Built 1989","WO23- 2,146",No heat," Checked unit, lots of heat."
"181  -181 - 2 Storey, Duplex, Built 1989",WO22/23- 104,Clean HRV," Removed filter and brought back filter to the shop, cleaned them, washem with a bucket of water and Mr.Clean, cleaned the inside of the HRV, reinstalled filters."
"183  -183 - 7 Plex, Built 1983",WO23- 225,No heat in unit., Added 10 litres of glycol to system.
"184  -184 - Duplex, Built 1990",WO22/23- 7,No heat in unit., Replaced faulty thermostat and zone.
"186  -186 - 3 Plex, Built 1990","WO23- 1,857",No heat, Checked  boilers both re-circ. pumps burnt out. Replace pump & tested for heat in a 3 units
"189  -189 - Detached, Re-built 1990","WO- 3,228",No heat.,
"189  -189 - Detached, Re-built 1990","WO- 3,282",No heat., Replaced circulator.
"189  -189 - Detached, Re-built 1990","WO- 3,374",No heat in unit.," We went to the unit and checked the boiler, no power was going past the dual aquastat, we went to the shop to grab the parts, returned and installed."
"189  -189 - Detached, Re-built 1990","WO- 3,375",Still no heat in unit.," Checked boiler and all controls ann aquastat control wasn't working, installed a new aquastat controller and boiler started, tested control to see if boiler shut off and back on, no issues after."
"189  -189 - Detached, Re-built 1990",WO22/23- 83,No heat.," I recieved a call for no heat, I called Reggie for assistance, we noticed a zone valve was seized and that no power was goig past the aquastat, after picking up the material from the shop we returned to the unit and replaced old parts, tested system."
"189  -189 - Detached, Re-built 1990","WO23- 1,051",Furnace won't go on.," Checked boiler, bled fuel line and filter, restarted boiler and tested."
"190  -190 - Duplex, Built 1991","WO23- 1,777",No heat in unit.," Larry and David opened  the zone valve to give heat to the unit for the night, I replaced t he zone valve and tested the system, everything is working properly."
"191  -191 - Duplex, Built 1991","WO23- 1,022",tenant hasn't had any heat since yesterday," Checked boiler controls, supply line was hot but no return, tested circulator pump, not working, replaced circulator pump and checked heat, added glycol to boiler."
"191  -191 - Duplex, Built 1991","WO23- 1,057",No heat.," I checked the boiler and the pressure was low, I topped it off to 20lbs, it still didn't start, I then tried to bleed the line but nothing was really coming out, after talking to Larry he suggest to drain t he drip leg, the drip leg was good, Larry arrived shortly after and was able to start the boiler by afjusting the filter."
"191  -191 - Duplex, Built 1991","WO23- 1,717",No heat.," Checked boiler, replaced faulty circulator pump and tested for heat."
"195  -195 - 3 Plex, Built 1991","WO23- 1,539",No heat in unit.," Boiler was low on glycol, added glycol to boiler and bled air from fuel pump."
"198  -198 - 4 Plex, Built 1991",WO23- 673,No heat in unit.," Checked heating system, tested thermostat, working normally."
"198  -198 - 4 Plex, Built 1991",WO23- 900,Trouble shoot heater.," Tested thermostat and zone valve, it turned out they were not compatible to work properly, I changed the thermostat to make the system work properly."
"198  -198 - 4 Plex, Built 1991","WO23- 2,393",No heat., reset boiler
"202  -202 - 2 Storey, Detached, Built 1991","WO23- 2,694",No Heat., checked boiler & zone valves upstairs zone was sticky. forced glycole upstairs for a min or two
"202  -202 - 2 Storey, Detached, Built 1991","WO23- 2,697",No heat," No heat in the living room, so i manually spun the zone valve to give heat. I then went to 19B Okpik to address their no heat. I grabbed a salvage zone valve motor from the shop & replaced it, everything was working properly"
"202  -202 - 2 Storey, Detached, Built 1991","WO23- 2,729",No heat upstairs.,"REplaced motor on zone valve, system was working properly."
"205  -205 - 4 Plex, Built 1992",WO23- 508,"Check heating, too hot in unit, says thermostat is on low but still too hot in unit.","Checked heating, no heat going through lines, shut hrv line off as was getting hot in crawlspace."
"207  -207 - 2 Storey, Detached, Built 1992","WO23- 1,296",Replace auto air vent on boiler., Replaced air eliminator on boiler.
"209  -209 - Duplex, Re-built 1992",WO23- 824,"Check furnace, no heat in unit."," Checked zone in crawlspace, zone was ok, boiler pressure was showing 10 pounds but system was air locked, I added 10 litres of glycol to the system."
"209  -209 - Duplex, Re-built 1992","WO23- 1,081",No heat., Added glycol.
"209  -209 - Duplex, Re-built 1992","WO23- 1,090","Too hot in unit, thermostat is on low, tenant says it was looked at and fixed on the weekend but during the night it's too hot, check thermostat.",
"210  -210 - Rent Sup., 3 Plex",WO23- 203,No heat in unit., emailed
"211  -211 - Rent Sup., 3 Plex","WO- 3,176",furnace not working, Replaced nozzle and cleaned dust from eletrodes.
"214  -214 - Rent Sup., Duplex","WO23- 2,452",No heat,
"214  -214 - Rent Sup., Duplex","WO23- 2,637",Not getting any heat downstairs.,Complete.  Notified by email.
"215  -215 - Rent Sup., 9 Plex",WO23- 127,Furnace is making a loud noise., emailed
"215  -215 - Rent Sup., 9 Plex","WO23- 1,041",Everytime the tenant turns on the furnace there is soot on the floor in the furnace room and when outside there is black smoke coming from the chimney,
"215  -215 - Rent Sup., 9 Plex","WO23- 1,703",No heat in unit., emailed
"215  -215 - Rent Sup., 9 Plex","WO23- 1,922",No heat in unit., emailed
"215  -215 - Rent Sup., 9 Plex","WO23- 2,214",No heat,
"215  -215 - Rent Sup., 9 Plex","WO23- 2,470",No heat, Enokhok completed this job
"218  -218 - Rent Sup., 9 Plex","WO23- 1,563","Furnace can't go on, sister Nadine called for her brother.", emailed
"221  -221 - Rent Sup., 9 Plex",WO23- 196,"Too hot in unit, check heating.", emailed
"222  -222 - Rent Sup., 9 Plex","WO23- 2,179","Door was kicked in over the weekend and left open, so zone valves and some pipes froze up.", Replaced broken door only 1-36 inch Door only
"223  -223 - Rent Sup., 9 Plex","WO23- 1,805",Enokhok received a call for no heat at 4:00 a.m.,
"223  -223 - Rent Sup., 9 Plex","WO23- 2,799",No heat. See attached ., sent to Enokhok
"225  -225 - Rent Sup., 4 Plex","WO23- 1,677",No heat in unit., emailed
003  -,"WO23- 1,118",furnace nozzle needs to be changed, Replaced nozzle.
003  -,"WO23- 1,457",Annual servicing of boilers.,".Serviced boilers, changed nozzle and filter."
003  -,"WO23- 1,871",Replace nozzle on furnace., Replaced nozzle.
003  -,"WO23- 2,287",please have heating system checcked as no heat in unit.,"Checked furnace, replaced plugged nozzle, adjusted electrodes, restart furnace and tested."
131M  -131M - 2E Omingmak St.,"WO23- 1,570",Annual furnace cleaning," Serviced boiler, cleaned furnace, changed water pressure relief valve."
134M  -134-M - 2B Omingmak St.,"WO23- 1,542",Annual service of boiler.," Serviced and cleaned boiler, changed nozzle and oil filter."
138M  -138-M - 1C Tulik Rd.,"WO23- 1,544",Annual service of boiler.," Serviced and cleaned boiler, changed nozzle and oil filter."
183M  -183-M - 8E Amagok St.,"WO23- 1,216",Clean boilers," Cleaned boiler, replaced nozzle and oil filter cartridge, unit is operating at 83 1/2% effiency."
142M  -142-M - 8C Amagok Street,"WO23- 1,215",Clean boilers," Checked boiler, replaced nozzle and oil filter, unit is operating at 81.5% effiency."
142M  -142-M - 8C Amagok Street,"WO23- 1,454",Clean and service boilers.," Serviced boilers, cleaned pipe and furnace, changed nozzle and changed oil filter, effiency 84 1/2%"
144M  -144-M - 8 Amagok St.,WO23- 436,replace zone valve in the mechanical room, Replaced 3 zone valves for mechanical room.
144M  -144-M - 8 Amagok St.,"WO23- 1,214",Clean boilers,"  Checked boiler, replaced nozzle and oil filter, unit is operating at 83.5% effiency."
144M  -144-M - 8 Amagok St.,"WO23- 1,453",Clean and service boilers.," Serviced boiler, cleaned, changed oil filter and nozzle."
283M  -283-M - 5 Kalvik Rd.,"WO- 3,318",Boiler Inspection,"Replaced a tray under the burner, turned relief valve to the vertical, added a 90x36 copper elbowm placed a container under pvr."
283M  -283-M - 5 Kalvik Rd.,"WO- 3,319",Boiler Inspection,"  Replaced pressure relief valve, installed it on the vertical, addad a 18x24 tray under the burner, placed a container under the PVR"
283M  -283-M - 5 Kalvik Rd.,WO23- 345,Replace old hrv., Had to make cord for HRV which was not plugged in. HRV was working good when we hooked it up
283M  -283-M - 5 Kalvik Rd.,"WO23- 1,418",Annual furnace cleaning,"  Serviced boilers, changed nozzle and changed oil filter, boiler #1 effiency 83 1/2%, boiler #2 effiency 83%"
284M  -284-M - 3 Kalvik Rd.,"WO- 3,307",Boiler Inspection," Replaced the pressure relief valve on the vertical position, placed a container under the pvr and added glycol to the system."
284M  -284-M - 3 Kalvik Rd.,"WO- 3,310",Boiler Inspection," Installed a pressure relief valve on the vertical, placed a container under the pvr and added 5gal of glycol to the system,"
284M  -284-M - 3 Kalvik Rd.,WO23- 231,Replace the HRV.," Removed old hrv from unit, we need to order controls for these hrv so we have more."
284M  -284-M - 3 Kalvik Rd.,WO23- 344,Replace old hrv.," June8- I installed the new wall control but it wasn't compatable, June22 I installed the proper wall control, tested."
284M  -284-M - 3 Kalvik Rd.,"WO23- 1,419","drain the boilers, add new glycol to the boilers",Drain Boilers and all pure glycol
284M  -284-M - 3 Kalvik Rd.,"WO23- 1,420",Annual furnace cleaning,"  Serviced boilers, cleaned pipes, changed nozzle and changed oil filter, boiler #1 effiency 86 1/4%, boiler #2 86 1.2%"
286M  -286-M - 4 Kalvik Rd.,"WO- 3,297",Boiler Inspection," Replaced pressure relief valve, added a tray under the burner, as well as a container under pvr, cleaned debris from boiler."
286M  -286-M - 4 Kalvik Rd.,WO23- 347,Replace hrv., Replaced hrv.
286M  -286-M - 4 Kalvik Rd.,"WO23- 1,273",Annual furnace cleaning.," Serviced boilers, glycol -34, boiler effiency boiler #184%, boiler #2 84 1/2%"
285M  -285-M - 2 Kalvik Rd.,"WO23- 2,211",replace pressure relief valve, replaced pressure relief valve
287M  -287-M - 4 Tatkik Rd.,"WO- 3,293",Boiler Inspection," Brought boilers up to code by replacing relief valves and installing them on the vertical instead of horizontal on both boilers, placed a container under oth pressure relief valves and added glycol to the system."
287M  -287-M - 4 Tatkik Rd.,"WO- 3,302",Boiler Inspection," Replaced pvr, placed tray under burner."
287M  -287-M - 4 Tatkik Rd.,"WO23- 1,406",Service and clean boiler.," Serviced boiler, changed oil filters, change nozzles."
287M  -287-M - 4 Tatkik Rd.,"WO23- 1,905",No heat.," I checked fuel tank, it was filled, I then checked the mechanical room and the glycol pressure was on low, I grabbed the pump and glycol from the shop, after topping it off it began to work and the heat returned to t he units, I went back to the shop to return the pump and glycol and filled the glycol jerry can."
288M  -288-M - 19 Okpik St.,"WO23- 1,482",Annual furnace cleaning.,"Serviced boilers, changed nozzle and changed lilters, boiler effiency 83 1/2%, glycol -35"
288M  -288-M - 19 Okpik St.,"WO23- 1,645",Change motor on furnace., Motor changed on boiler.
290M  -290M - 2 Tatkik Rd.,"WO- 3,222",Boiler out., Replaced nozzle and 1 reillo fuel pump.
290M  -290M - 2 Tatkik Rd.,"WO- 3,320",Boiler Inspection,"  Replaced pressure relief valve, installed it on the vertical, added 5 litres of glycol, placed a container under PVR."
290M  -290M - 2 Tatkik Rd.,"WO- 3,321",Boiler Inspection," Replaced pressure relief valve, installed it on the vertical, replaced a nozzle (unit was off), added glycol, replaced auto on vent and installed a pot cock valve."
290M  -290M - 2 Tatkik Rd.,"WO23- 1,373",Clean and service boiler.," Serviced boilers, boiler#1 effiency 83.5%, boiler#2 83.5%."
289M  -289M - 45 Okpik St.,"WO23- 1,445",Service and clean boilers.," Serviced boilers, changed nozzles, changed oil filters. effiency 85%"
275M  -275-M - 3 Tatkik Rd. N.,"WO23- 1,350",Service and clean boiler.," Cleaned boiler #1 84 1/2 %, changed oil filer  and nozzle."
276M  -276M - 47 Okpik St.,"WO- 3,324",Boiler Inspection,
276M  -276M - 47 Okpik St.,"WO- 3,325",Boiler Inspection,
276M  -276M - 47 Okpik St.,"WO23- 1,503",Annual cleaning on boilers.," Serviced boilers, #1 85 3/4% effiency, #2 84% effiency, glycol -70"
276M  -276M - 47 Okpik St.,"WO23- 1,860",Replace 1 circulator pump, Replaced burnt out circulator pump #1 and tested.
277M  -277M - 59 Okpik St.,"WO23- 1,483",Annual furnace cleaning.,"Serviced boilers, changed nozzle, changed oil filter. boiler effieceny 85%"
279M  -279M - 53 Tuktu St.,"WO23- 1,523",Annual boiler cleaning.," Serviced and cleaned boilers, changed oil filter and nozzle."
278M  -278M - 51 Tuktu St.,"WO- 3,322",Boiler Inspection," Replaced PVR, installed kit on the vertical, placed tray under the berm"
278M  -278M - 51 Tuktu St.,"WO- 3,323",Boiler Inspection,
278M  -278M - 51 Tuktu St.,"WO23- 1,532",Annual boiler cleaning.," Serviced and cleaned boilers, boiler #1, oil filter, 2 nozzles"
280M  -280-M - 45 Tuktu St.,"WO- 3,331",Boiler Inspection,
280M  -280-M - 45 Tuktu St.,"WO- 3,334",Boiler Inspection,
291M  -291-M - 18 Avingak St.,"WO23- 1,411",Service and clean boilers.," Serviced boiler, cleaned pipe, changed nozzle, efficiecny #2 85 3/4%"
291M  -291-M - 18 Avingak St.,"WO23- 2,564",Top off glycol in boiler room.,"Topped off glycol in boiler room. Glycol was at 0PSI, topped off at 20PSI. Added 10L of glycol"
270M  -270-M - 29 Okpik St.,"WO23- 1,440",Annual furnace cleaning,"Serviced boilers, cleaned pipe and furnace, changed nozzle, changed filter. effiency 84%, glycol is good."
015  -015 - Replacement unit 1998,"WO23- 1,716",Replace burner on furnace.," Changed oiler on furnace, changed blast tube and control box."
015  -015 - Replacement unit 1998,"WO23- 1,757",No heat.," Checked furnace, adjusted fan limit and furnace came on, waited for full cycle."
015  -015 - Replacement unit 1998,"WO23- 2,144",Rattling noise coming from furnace., Put 2 self tapping screws on fan motor down to furnace.
015  -015 - Replacement unit 1998,"WO23- 2,265",No heat, Adjusted the fan control to allow fan ( blower fan to come on before burner shuts down.
015  -015 - Replacement unit 1998,"WO23- 2,303",No heat,We replaced the fan limit insertion and the fine tune it for the furnace.
015  -015 - Replacement unit 1998,"WO23- 2,519",tenant said furnace fan has been on since yesterday evening," Baby turned switch on and activated blower fan over-ride, turned switch off of manual and back on manual"
052  -052 - Replacement unit 1998,"WO23- 1,049","Check furnace, says it can't go on.",
229  -229- Built 2001 duplex,"WO23- 1,561",Put in new radiator vents in unit., Used 1ft used rad casement and added ends after installing rad casement.
232  -232 - Access 4 BdRm,"WO23- 1,849",Fuel leak., Changed gasket on oil filter.
232  -232 - Access 4 BdRm,"WO23- 2,125","Pipe for heating fell off in crawlspace, hardly any heat in unit."," Galvenized pipes fell off, reinstalled and put new heating tape."
233  -233 - Built 2003-Duplex,WO22/23- 98,Check glycol leak., Replaced auto air vent.
233  -233 - Built 2003-Duplex,WO23- 307,"Check heating, too hot in unit.", Shut off circulator pumps to crawlspace sd they were too hot.
233  -233 - Built 2003-Duplex,WO23- 914,"Tenant says it's too hot in unit, check heating system.", I checked both thermostats and circulating pumps and everything was working properly.
233  -233 - Built 2003-Duplex,"WO23- 1,122",No heat," Bled air from boiler this morning, unit was air locked, all good now."
233  -233 - Built 2003-Duplex,"WO23- 1,276",No heat in unit.," Boiler was low on pressure, added glycol to boiler, checked both A&B supply and return lines were very hot, tried to go into unit a to check but tenant would not answer door."
233  -233 - Built 2003-Duplex,"WO23- 2,796",Impr.," Checked boiler temp and pressure, boiler was fine. circ pump not working . went into the unit and checked thermostat, was on 15*, turned up temp and checked for Heat"
234  -234 - Built 2003 - Duplex,WO23- 541,"check thermostat, not working."," Valves were shut off for the summer, opened valves and checked for heat."
234  -234 - Built 2003 - Duplex,WO23- 854,"Tenant says it's too hot in unit, would like heating checked."," Traced wiring back from thermostat, traced the heating lines to make sure they match up."
234  -234 - Built 2003 - Duplex,"WO23- 1,084",No heat.," Replaced fuel pump on boiler, added glycol."
234  -234 - Built 2003 - Duplex,"WO23- 2,042","Check thermostat, not working properly."," We checked the mechanical room and the boiler was low on glycol, back to shop for pump and glycol, we topped off the glycol and the gauge was damaged, back to the shop for new gauge, we replaced the gauge and pumped more glycol but the pressure wasn't right, we discovered the expansion tank was damaged and replaced, the boiler was working properly and the unit had heat."
294M  -23 Tuktu-Mechanical,WO23- 871,Trace electrical and heating lines.," I traced the wires from the panel to the switch, then to the thermostates to the circulating pumps, I then tested each system to make sure they were activating the proper pumps."
294M  -23 Tuktu-Mechanical,"WO23- 1,116",No heat in both units.,
294M  -23 Tuktu-Mechanical,"WO23- 1,322",Service and clean boiler.," Vacuumed and checked boiler #1, replaced nozzle and oil filter, this unit is operating at 83% effiency, glycol is good."
271M  -27 Tatkik-Mechanical,"WO23- 1,399",Service and clean boiler.," Serviced boilers, changed oil filters, changed nozzles."
292M  -40 Kalaak-Mechanical,"WO23- 1,529",Change amtrol., cbha will supply material. emailed
SH-410-A0005  -Multiplex Kalaak 53A,"WO23- 1,278","No heat, permission to enter.",Forwarded to Inukshuk
SH-410-A0010  -Multiplex Kalaak 53M,"WO23- 1,280",Materials for Jago, Jago came and picked up a F3 motor and fuel pump.
SH-410-A0014  -Multiplex Koihok-Maghagak Cres 2C,WO23- 491,Turn off the heat in the crawl space., Turned down thermostat for crawlspace in mechanical room.
SH-410-A0014  -Multiplex Koihok-Maghagak Cres 2C,WO23- 929,Please have the heat turned back on in the crawl space, Opened valve to crawl space in mechanical room and checked for heat.
SH-410-A0015  -Multiplex Koihok-Maghagak Cres 2M,"WO- 3,339",Boiler Inspection,
SH-410-A0015  -Multiplex Koihok-Maghagak Cres 2M,"WO- 3,340",Boiler Inspection,
SH-410-A0019  -Multiplex Koihok-Maghagak Cres 4D,WO23- 907,Please have the zone valve fixed as the unit is way too hot, Checked and replaced faulty zone valve in crawl space and tested thermostat.
SH-410-A0019  -Multiplex Koihok-Maghagak Cres 4D,"WO23- 1,100",Please turn back on the subfloor heating, Turned on valves in crawlspace to have heat in crawlspace as well as preheated to hrv.
SH-410-A0020  -Multiplex Koihok-Maghagak Cres 4M,"WO- 3,341",Boiler Inspection,
SH-410-A0020  -Multiplex Koihok-Maghagak Cres 4M,"WO- 3,342",Boiler Inspection,
SH-410-A0024  -Multiplex Koihok-Maghagak Cres 6M,"WO- 3,250",Boiler out.," Burner was not working, replaced burner coupling"
SH-410-A0024  -Multiplex Koihok-Maghagak Cres 6M,"WO- 3,344",Boiler Inspection,
SH-410-A0024  -Multiplex Koihok-Maghagak Cres 6M,"WO- 3,345",Boiler Inspection,
SH-410-A0031  -Apartment 202,"WO23- 2,078",Please have the heating checked as there is no heat coming out.," Checked zone valve, moved it manually, heat started going."
SH-410-A0034  -Apartment 205,"WO23- 1,758",No heat in bedroom., Checked and loosen sticky zone valve in bedroom and checked for heat.
SH-410-A0036  -Apartment 207,"WO23- 2,335",no heat in appt 207-13 Omingmak.please have someone check this out.," checked bedroom and living room zone valves, workd good"
SH-410-A0037  -Apartment 208,"WO23- 1,365",No heat call at 8:00 a.m.," Zone valve in livingroom not working, replaced zone valve, zone valve in bedroom not working, replaced zone valve, wrong thermostat in bedroom, installed proper thermostat, added glycol to boiler."
SH-410-A0037  -Apartment 208,"WO23- 1,644",Unit 208 is saying they have little to no heat and are using space heaters.  Please check rads., We replaced all the zone valves in the unit and tested.
SH-410-A0037  -Apartment 208,"WO23- 2,286",Check the thermostats and heat in Unit 208 in order to get the heat going again.   See notes below from the nurses staying in the unit.," Checked the thermostats and heat in unit in order to get the heat going again. Checked the Thermostat and Zone valves, determined zone valve in the bedroom was not working. Installed New Zone Valves, feed another zone valve on other bedroom."
"SH-410-A0038  -Mechanical Room, Nurses Residence","WO- 3,337",Boiler Inspection,
"SH-410-A0038  -Mechanical Room, Nurses Residence","WO- 3,338",Boiler Inspection,
"SH-410-A0038  -Mechanical Room, Nurses Residence","WO23- 1,329",No heat.," Had to spin zone valves to get fluid moving, had air lock"
SH-410-A0039  -Doctor's Res,"WO23- 1,695",No heat.," Nozzle was plugged, no power to burner. Replace primary control, still no power. Replaced timer control board, still no power.Got wire to bypass thermostat & burner went on.Connected thermostat to TT and tested with thermostat. Told doctor will get electrician to go over wiring the next day"
SH-410-A0039  -Doctor's Res,"WO23- 1,700",No heat in unit.," We changed the timer board by passed the snap disk and rewired the system, reenergized and tested."
SH-410-A0054  -Multiplex Tatkik 26A,"WO23- 1,107","There is no heat, also no hot water",Completed
SH-410-A0055  -Multiplex Tatkik 26B,"WO23- 2,561",Install thermostat for heating zone.," Installed a new thermostat and ran a wire to an existing zone valve, tested and verified the thermostats activated the right zone"
SH-410-A0056  -Multiplex Tatkik 26C,WO23- 193,Too hot in unit.," I arrived to the unit and realized the motor for the zone valve was stuck, I had a replacement motor in the truck that was salvaged from a previous job, once replaced the sysytem worked properly."
SH-410-A0058  -Multiplex Tatkik 26E,"WO23- 1,076",No heat in the unit,
SH-410-A0058  -Multiplex Tatkik 26E,"WO23- 2,778",No heat., Boiler was low on glycol.  Added gluycol to boiler and checked unit E for heat.
SH-410-A0059  -Multiplex Tatkik 26 Mechanical,"WO- 3,315",Boiler Inspection,"Placed container uder the outlet pipe of the pvr, updated log sheet."
SH-410-A0060  -Multiplex Tatkik 28A,"WO- 3,150",Glycol leak, Replace 90 degree elbow on suite heating zone and replace check valve on domestic water pump suction.
SH-410-A0060  -Multiplex Tatkik 28A,"WO- 3,172",leak on heating pipe (boiler room by door)," Checked out unit for leak, slowly leaking, reported to Larry, said can be soldered on next working day."
SH-410-A0060  -Multiplex Tatkik 28A,WO23- 420,Radiator in the porch is warm even though the furnace is off, Shut zone off for porch.
SH-410-A0060  -Multiplex Tatkik 28A,"WO23- 1,674",please have heating system check as tenant called shop and said not hot water coming througth.," The tenant informed me that while he was cleaning out the storage room he noticed a loose control wire and he connedted again, the issue was resolved by the  time I had arrived."
SH-410-A0062  -Multiplex Tatkik 28C,"WO23- 2,230",please have heating system checked as floor feel cold to walk on., Replaced zone valve for upstairs heating system
SH-410-A0062  -Multiplex Tatkik 28C,"WO23- 2,389","Please have someone check heat, tenant said floor always cold to walk on.","Checked heating lines and zone valves, heat was good.  Checked patio door, draft coming in through door.  Replaced weatherstripping, still little draft by bottom corner of door.  Replaced doorsweep."
SH-410-A0065  -Multiplex Tatkik 28 Mechanical room,"WO- 3,294",Boiler Inspection, Replaced 2 pressure relief valves and updated log book.
SH-410-A0066  -Multiplex Tatkik 29A,"WO23- 1,328","Tenant said that there has been no heat since Saturday, please go to the unit and get the heat going", Changed zone valve.
SH-410-A0066  -Multiplex Tatkik 29A,"WO23- 1,330",Give materials to Jato, 3 zone were picked up by Jago for GN unit.
SH-410-A0068  -Multiplex Tatkik 29C,"WO23- 1,648","No heat, not enough heat."," Checked boilers at 4psi, pressurized boilers to 20 psi and checked for heat."
SH-410-A0068  -Multiplex Tatkik 29C,"WO23- 2,040",Please have heating system checked in living room area tenant said no heat coming out.,Zone valve not opening/closing with thermostat.  Replaced zone valve and tested with thermostat.
SH-410-A0076  -Multiplex Tatkik 8Mechanical room,"WO23- 1,410",Service and clean boilers.," Serviced boilers, cleaned chimney pipe, changed nozzle, changed oil filter, effiency for both boilers 84%"
SH-410-A0085  -Multiplex Tuktu 55-5,WO23- 426,"Please have someone check the heating issue, too hot in unit.",
SH-410-A0085  -Multiplex Tuktu 55-5,WO23- 468,Too hot in unit.,  Contacted Enokhok
SH-410-A0085  -Multiplex Tuktu 55-5,"WO23- 1,355","In August, someone from Qillaq turned off the circ valve to the unit as it was too hot.  Now it is too cold, can you please turn it back on?  Quana!",
274M  -Mechanical Room,"WO- 3,354",Boiler Inspection,
274M  -Mechanical Room,"WO- 3,355",Boiler Inspection,
SH-410-A0092  -6C Kullik Road,WO23- 741,The unit is very hot inside. Please fix the heating system,
241  -Multiplex 49 B Kilgavik Road,WO23- 514,Tenant next door to mechanical room says buzzing noise croming from in there.," Checked mechanical room, no buzzing noise, buzzing may have come from water low alert."
241  -Multiplex 49 B Kilgavik Road,"WO23- 1,618","Check plumbing, hot water tap takes a long time to get hot.","  We noticed the boiler was low on glycol, I grabbed the pump and glycol from the shop and topped off the boiler."
241  -Multiplex 49 B Kilgavik Road,"WO23- 1,669",No heat.," Checked zone valve, heat good after moving zone valve."
241  -Multiplex 49 B Kilgavik Road,"WO23- 1,692",Replace zone valve.," Zone valve not opening, closing, replaced zone valve."
241  -Multiplex 49 B Kilgavik Road,"WO23- 1,744",No heat in unt., Replaced the aquastat on the boiler.
272-M  -272-M-49 Kilgavik,"WO- 3,305",Boiler Inspection," Replaced pressure relief valve, added a container under pvr, added 10gal of glycol."
272-M  -272-M-49 Kilgavik,"WO- 3,306",Boiler Inspection," Replaced pressure relief valve, placed a container unde pvr, addled 10gal of glycol to the system."
272-M  -272-M-49 Kilgavik,"WO- 3,370",Add Glycol to unit.," Drained both boilers and added 100% glycol to bring glycol percentage up in boiler so it won't freeze, the glycol was only good to -5 and that is unacceptable, should be good for at -30 to -35, well let t his mix with what was left in the system for a couple of days and check it for temperature it is good for."
272-M  -272-M-49 Kilgavik,"WO23- 1,342",Service and clean boilers.," Changed air filters and nozzles. Boiler #1 efficency 81%, boiler #2 effiency 81%"
242  -Multiplex 49 C Kilgavik Road,WO23- 238,"Too hot in unit, would like furnace turned down.", Checked all heating vents and no heat going through.
242  -Multiplex 49 C Kilgavik Road,"WO23- 1,569",No heat, Added glycol to the system.
242  -Multiplex 49 C Kilgavik Road,"WO23- 1,580",No heat.," I activated the thermostat and the zone valve didn't fully open, I replaced it and the heat began to flow through the zone."
243  -Multiplex 49 D Kilgavik Road,WO23- 709,"Tenant said her unit is hot, thermostat has been turned down",
244  -Multiplex 49 E Kilgavik Road,"WO23- 1,044","All the heating vents are falling out, tenant would like them fixed.", reinstalled hot water heating vent covers
244  -Multiplex 49 E Kilgavik Road,"WO23- 1,319","Check HRV, tenant says smells of smoke.", Tenant informed us that the issue was resolved.
244  -Multiplex 49 E Kilgavik Road,"WO23- 1,568",No heat," We replaced the old zone valve(n/o) and thermostat to a n/o system, energized and tested."
244  -Multiplex 49 E Kilgavik Road,"WO23- 1,622",No heat and no hot water.," We noticed the boiler was low on glycol, I grabbed the pump and glycol from the shop and topped off the boiler."
244  -Multiplex 49 E Kilgavik Road,"WO23- 1,735",No heat in unit.," We noticed the hrv coil wasn't producing heat so we activated it, we then turned up the settings in the mechanical room."
"245  -245 - Detached, Built 2008","WO23- 1,557",Annual boiler inspection," Serviced boiler, changed nozzle, filter and cleaned pipe and furnace. 84% effiency."
246  -49 Tuktu Street,"WO- 3,033",Furnace not working., No heat this morning at my house.
246  -49 Tuktu Street,"WO23- 1,505","No heat in unit, tenant says furnace can't go on, check for fuel."," Checked for fuel, checked furnace, replaced both snap discs and fan came on but not the burner, replaced the mother board and started furnace."
246  -49 Tuktu Street,"WO23- 2,029",No heat,
249  -Multiplex 52-C Kilgavik,"WO23- 2,113",No heat in unit.," The zone valve was constantly spinning, once changed the system worked properly."
273M  -52 Kilgavik Street Mechanical Room,"WO- 3,328",Drain both boilers and fill with new glycol., Installed new pressure gauge on air scoop behind boilers.
273M  -52 Kilgavik Street Mechanical Room,"WO- 3,329",Boiler Inspection,
273M  -52 Kilgavik Street Mechanical Room,WO23- 868,No heat in unit.,
273M  -52 Kilgavik Street Mechanical Room,"WO23- 1,346",Drain boiler and add glycol to system to bring to value.," emailed

Drain boiler of all glycol and add new glycol to bring -40 glycol supply by houisng."
